date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:53	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Jul%202020%2008:02:53%20GMT	https://demo.cocobasic.com/robots.txt		(from )
13:32:53	14475/14475	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/index.html	(from )
13:32:54	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e4007ff-13e%22	https://demo.cocobasic.com/anotte-html/images/favicon.ico	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/images/favicon.ico	(from https://demo.cocobasic.com/anotte-html/)
13:32:55	1645/1645	---MC-	200	added ('OK')	text/css	date:Mon,%2006%20Jul%202020%2008:02:54%20GMT	https://fonts.googleapis.com/css?family=Poppins:400,500,600,700,800%7CPlayfair%20Display:700%7CPT%20Serif:400i	/Users/apple/websites/tacido/fonts.googleapis.com/css8588.css	(from https://demo.cocobasic.com/anotte-html/)
13:32:56	34482/34482	---MCZ	200	added ('OK')	text/css	etag:W/%225e4007ff-86b2%22	https://demo.cocobasic.com/anotte-html/style.css	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/style.css	(from https://demo.cocobasic.com/anotte-html/)
13:32:57	14475/14475	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/index.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/index-2.html	(from https://demo.cocobasic.com/anotte-html/)
13:32:58	7566/7566	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/about.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/about.html	(from https://demo.cocobasic.com/anotte-html/)
13:32:59	13062/13062	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/gallery.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/gallery.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:00	13085/13085	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/gallery-bw.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/gallery-bw.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:01	13083/13083	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/gallery-inverse-bw.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/gallery-inverse-bw.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:02	11954/11954	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/blog.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/blog.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:03	7613/7613	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/contact.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/contact.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:03	2337/2337	---M--	200	added ('OK')	image/png	etag:%225e4007ff-921%22	https://demo.cocobasic.com/anotte-html/images/logo.png	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/images/logo.png	(from https://demo.cocobasic.com/anotte-html/)
13:33:05	8930/8930	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/portfolio-1.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/portfolio-1.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:06	107556/107556	---M--	200	added ('OK')	image/jpeg	etag:%225e4007fe-1a424%22	https://demo.cocobasic.com/anotte-html/images/image_01.jpg	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/images/image_01.jpg	(from https://demo.cocobasic.com/anotte-html/)
13:33:08	13586/13586	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/portfolio-2.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/portfolio-2.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:10	69716/69716	---M--	200	added ('OK')	image/jpeg	etag:%225e4007ff-11054%22	https://demo.cocobasic.com/anotte-html/images/image_02.jpg	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/images/image_02.jpg	(from https://demo.cocobasic.com/anotte-html/)
13:33:10	9520/9520	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:24:15%20GMT	https://demo.cocobasic.com/anotte-html/portfolio-3.html	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/portfolio-3.html	(from https://demo.cocobasic.com/anotte-html/)
13:33:12	83906/83906	---M--	200	added ('OK')	image/jpeg	etag:%225e4007fe-147c2%22	https://demo.cocobasic.com/anotte-html/images/image_03.jpg	/Users/apple/websites/tacido/demo.cocobasic.com/anotte-html/images/image_03.jpg	(from https://demo.cocobasic.com/anotte-html/)
