date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:08	34178/34178	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2016:17:32%20GMT	http://mixdesign.club/themeforest/unio/index-fullscreen-image.html	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/index-fullscreen-image.html	(from )
15:59:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jul%202020%2010:29:08%20GMT	http://mixdesign.club/robots.txt		(from )
15:59:09	12436/12436	---M--	200	added ('OK')	image/x-icon	date:Thu,%2012%20Mar%202020%2016:18:58%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/favicon.ico	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/favicon.ico	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:10	1762/1762	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:55%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-57x57.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-57x57.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:11	1884/1884	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:55%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-60x60.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-60x60.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:12	2292/2292	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:56%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-72x72.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-72x72.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:13	2430/2430	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:56%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-76x76.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-76x76.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:14	3810/3810	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:53%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-114x114.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-114x114.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:15	4001/4001	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:53%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-120x120.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-120x120.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:16	4797/4797	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:54%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-144x144.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-144x144.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:17	5034/5034	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:54%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-152x152.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-152x152.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:18	6095/6095	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:55%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-180x180.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/apple-touch-icon-180x180.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:19	9125/9125	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Mar%202020%2016:18:49%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/android-chrome-192x192.png	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/android-chrome-192x192.png	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:20	1463/1463	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2016:19:02%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/site.webmanifest	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/site.html	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jul%202020%2010:29:21%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/safari-pinned-tab.svg	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/safari-pinned-tab.d.delayed	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:22	258/258	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Mar%202020%2016:18:57%20GMT	http://mixdesign.club/themeforest/unio/img/favicon/browserconfig.xml	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/img/favicon/browserconfig.xml	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
15:59:24	17781/17781	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2010:08:39%20GMT	http://mixdesign.club/themeforest/unio/	/Users/apple/websites/tacido/mixdesign.club/themeforest/unio/index.html	(from http://mixdesign.club/themeforest/unio/index-fullscreen-image.html)
